"Associate","Location_Name","Type","Ref_No","Location Ref","Id","Notes","Address","City","State","Postal_Code","Address Country","Region","Country","Alternate Factor Region","Group Level 1","Group Level 2","Group Level 3","Group_Associate","Report_Percent","Effective_From","Effective_To","Group_Type","Latitude","Longitude","ANZSIC Code","Opened On","Closed On"
"Downer","_CLOSED_Laundry - Coffs Harbour (NSW)","Branch Office","L9.S.14001713","T2.9246","","Owned","Unit 3 & 4 8 Seccombe Cl","Coffs Harbour","NSW","2450","","New South Wales","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Facilities & Asset Services","Downer","100.0000",,,"Classification",,,"729",,
"Downer","_CLOSED_Laundry - Cross Dock (VIC)","Industrial","L9.S.13900022","9124","","New lease from 1/10/2018.  This is a logistics hub for Dandenong Laundry.","8 Thomas Street","Yarraville","VIC","3013","","Port Melbourne","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",1899/12/31,2020/06/30,"Classification","-37.824027","144.882462","953",,
"Downer","_CLOSED_Laundry - Dandenong (VIC)","Industrial","L9.S.14001850","9054","","Settlement for the purchasing of this site was 01/07/2017","3 Logis Boulevard","Dandenong South","VIC","3175","Australia","Victoria","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-38.005975","145.205721","953",,
"Downer","_CLOSED_Laundry - Darra (QLD)","Industrial","L9.S.14001760","9055","","Owned","Lot 23/ 2666 IPSWICH ROAD","DARRA","QLD","4076","","Queensland","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-27.574457","152.957834","953",2010/07/01,
"Downer","_CLOSED_Laundry - Darwin Woolner (NT)","Industrial","L9.S.13001174","9056","","Owned","11 Bishop Street","Woolner","NT","0820","Australia","Northern Territory","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-12.433106","130.851033","953",,
"Downer","_CLOSED_Laundry - Dudley Park (SA)","Industrial","L9.S.14001810","9057","","Owned","2-6 Oxenham St","Dudley Park","SA","5008","","South Australia","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-34.877919","138.580897","953",,
"Downer","_CLOSED_Laundry - Geelong (VIC)","Branch Office","L9.S.13001173","T3.9581","","Owned","34 Gordon Ave","Geelong","VIC","3218","","Victoria","Australia",,"Z_HISTORICAL_Operational Control","Z_HISTORICAL_Operational Control","Facilities & Asset Services","Downer","100.0000",,2017/06/30,"Classification",,,"729",,
"Downer","_CLOSED_Laundry - Kelvin Grove (QLD)","Branch Office","L9.S.13900022","T4.9585","","Leased - Private","113 Kelvin Grove Rd","Kelvin Grove","QLD","4059","","Queensland","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2017/06/30,"Classification",,,"729",,
"Downer","_CLOSED_Laundry - Marrickville (NSW)","Branch Office","L9.S.13900022","T2.8986","","Leased - Private","33-45 Buckley St","Marrickville","NSW","2204","","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2017/06/30,"Classification",,,"729",,
"Downer","_CLOSED_Laundry - Murdoch (WA)","Industrial","L9.S.14001880","9058","","Owned","Lot 2338 Murdoch Dr","Murdoch","WA","6150","","Western Australia","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-32.061501","115.842616","953",,
"Downer","_CLOSED_Laundry - North Parramatta (NSW)","Branch Office","L9.S.13900022","","","","8 Dunlop Street","North Parramatta","NSW","2151","Australia","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2017/06/30,"Classification",,,"729",,
"Downer","_CLOSED_Laundry - North Rocks (NSW)","Industrial","L9.S.14001720","9059","","Leased - Private","Unit C  19-21 Loyalty Road","North Rocks","NSW","2151","","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-33.773547","151.009662","953",,
"Downer","_CLOSED_Laundry - Northcote (VIC)","Industrial","L9.S.13001172","9060","","Owned","24 Leinster Grove","Northcote","VIC","3070","","Victoria","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-37.762366","144.98739","953",,
"Downer","_CLOSED_Laundry - Punchbowl (NSW)","Industrial","L9.S.13001171","9061","","Owned","42 Belmore Road","Punchbowl","NSW","2196","","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-33.935729","151.056255","953",,
"Downer","_CLOSED_Laundry - Rosebery (NSW)","Industrial","L9.S.14001740","9062","","Owned","Units 1, 1A, 2 7 3, 45-55, Epsom Rd","Rosebery","NSW","2018","","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-33.911165","151.208191","953",,
"Downer","_CLOSED_Laundry - Somersby (NSW)","Industrial","L9.S.14001750","9063","","Owned","LOT 1 & 2, 15 GINDURRA RD","SOMERSBY","NSW","2250","","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification","-33.412883","151.291292","953",2010/07/01,
"Downer","_CLOSED_Laundry - Torrensville (SA)","Branch Office","L9.S.13900022","","","","59 Stephens Ave","Torrensville","SA","5031","Australia","South Australia","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2017/06/30,"Classification",,,"729",,
"Downer","_CLOSED_LND Fleet ACT","Other","L9.S.13900022","9201","","",,,,,"","Australian Capital Territory","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",1899/12/31,2020/06/30,"Classification",,,,,
"Downer","_CLOSED_LND Fleet NSW","Other","L9.S.13900022","9202","","",,,,,"","New South Wales","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",1899/12/31,2020/06/30,"Classification",,,,,
"Downer","_CLOSED_LND Fleet NT","Other","L9.S.13900022","9198","","",,,,,"","Northern Territory","Australia",,"Z_DIVESTED_Operational Control","Z_DIVESTED_Operational Control","Laundries","Downer","100.0000",,2020/06/30,"Classification",,,,,
